"","Reason","year","Age","Male","Female","Total"
"15403","Religious Activities",2001,"49 s",3,2,5
"15404","Religious Activities",2002,"49 s",2,4,6
"15405","Religious Activities",2003,"49 s",5,3,8
"15406","Religious Activities",2004,"49 s",0,2,2
"15407","Religious Activities",2005,"49 s",0,0,0
"15408","Religious Activities",2006,"49 s",3,0,3
"15409","Religious Activities",2007,"49 s",0,0,0
"15410","Religious Activities",2008,"49 s",3,0,3
"15411","Religious Activities",2009,"49 s",3,1,4
"15412","Religious Activities",2010,"49 s",1,1,2
"15413","Religious Activities",2011,"49 s",3,NA,3
"15414","Religious Activities",2012,"49 s",1,3,4
"15415","Religious Activities",2013,"49 s",2,1,3
"15416","Religious Activities",2014,"49 s",2,0,2
"15417","Religious Activities",2015,"49 s",4,2,6
"15418","Religious Activities",2016,"49 s",2,1,3
"15419","Religious Activities",2017,"49 s",4,2,6
"15420","Religious Activities",2018,"49 s",2,0,2
"15421","Religious Activities",2019,"49 s",1,1,2
"15422","Investors",2000,"49 s",20,7,27
"15423","Investors",2001,"49 s",25,4,29
"15424","Investors",2002,"49 s",31,2,33
"15425","Investors",2003,"49 s",13,1,14
"15426","Investors",2004,"49 s",22,3,25
"15427","Investors",2005,"49 s",17,5,22
"15428","Investors",2006,"49 s",12,1,13
"15429","Investors",2007,"49 s",17,2,19
"15430","Investors",2008,"49 s",13,1,14
"15431","Investors",2009,"49 s",13,2,15
"15432","Investors",2010,"49 s",21,1,22
"15433","Investors",2011,"49 s",13,2,15
"15434","Investors",2012,"49 s",12,NA,12
"15435","Investors",2013,"49 s",13,1,14
"15436","Investors",2014,"49 s",9,1,10
"15437","Investors",2015,"49 s",8,0,8
"15438","Investors",2016,"49 s",27,2,29
"15439","Investors",2017,"49 s",15,3,18
"15440","Investors",2018,"49 s",11,0,11
"15441","Investors",2019,"49 s",13,2,15
"15442","Trade and Business",2000,"49 s",12,0,12
"15443","Trade and Business",2001,"49 s",11,0,11
"15444","Trade and Business",2002,"49 s",17,0,17
"15445","Trade and Business",2003,"49 s",19,0,19
"15446","Trade and Business",2004,"49 s",14,0,14
"15447","Trade and Business",2005,"49 s",25,0,25
"15448","Trade and Business",2006,"49 s",18,0,18
"15449","Trade and Business",2007,"49 s",16,1,17
"15450","Trade and Business",2008,"49 s",20,0,20
"15451","Trade and Business",2009,"49 s",23,0,23
"15452","Trade and Business",2010,"49 s",17,0,17
"15453","Trade and Business",2011,"49 s",26,3,29
"15454","Trade and Business",2012,"49 s",23,NA,23
"15455","Trade and Business",2013,"49 s",43,1,44
"15456","Trade and Business",2014,"49 s",26,1,27
"15457","Trade and Business",2015,"49 s",35,0,35
"15458","Trade and Business",2016,"49 s",21,1,22
"15459","Trade and Business",2017,"49 s",18,0,18
"15460","Trade and Business",2018,"49 s",21,1,22
"15461","Trade and Business",2019,"49 s",11,0,11
"15462","Research",2000,"49 s",6,3,9
"15463","Research",2001,"49 s",7,0,7
"15464","Research",2002,"49 s",5,1,6
"15465","Research",2003,"49 s",9,2,11
"15466","Research",2004,"49 s",4,2,6
"15467","Research",2005,"49 s",12,1,13
"15468","Research",2006,"49 s",7,2,9
"15469","Research",2007,"49 s",3,0,3
"15470","Research",2008,"49 s",5,1,6
"15471","Research",2009,"49 s",3,0,3
"15472","Research",2010,"49 s",2,0,2
"15473","Research",2011,"49 s",4,1,5
"15474","Research",2012,"49 s",3,NA,3
"15475","Research",2013,"49 s",4,0,4
"15476","Research",2014,"49 s",4,0,4
"15477","Research",2015,"49 s",1,0,1
"15478","Research",2016,"49 s",13,1,14
"15479","Research",2017,"49 s",4,0,4
"15480","Research",2018,"49 s",9,0,9
"15481","Research",2019,"49 s",2,2,4
"15482","Art and Entertainment",2000,"49 s",5,1,6
"15483","Art and Entertainment",2001,"49 s",3,2,5
"15484","Art and Entertainment",2002,"49 s",6,1,7
"15485","Art and Entertainment",2003,"49 s",6,1,7
"15486","Art and Entertainment",2004,"49 s",8,0,8
"15487","Art and Entertainment",2005,"49 s",5,1,6
"15488","Art and Entertainment",2006,"49 s",5,1,6
"15489","Art and Entertainment",2007,"49 s",7,1,8
"15490","Art and Entertainment",2008,"49 s",4,1,5
"15491","Art and Entertainment",2009,"49 s",5,0,5
"15492","Art and Entertainment",2010,"49 s",5,0,5
"15493","Art and Entertainment",2011,"49 s",7,1,8
"15494","Art and Entertainment",2012,"49 s",14,1,15
"15495","Art and Entertainment",2013,"49 s",4,1,5
"15496","Art and Entertainment",2014,"49 s",3,0,3
"15497","Art and Entertainment",2015,"49 s",1,1,2
"15498","Art and Entertainment",2016,"49 s",2,0,2
"15499","Art and Entertainment",2017,"49 s",3,2,5
"15500","Art and Entertainment",2019,"49 s",6,0,6
"15501","Unskilled Employment",2000,"49 s",0,0,0
"15502","Unskilled Employment",2001,"49 s",0,0,0
"15503","Unskilled Employment",2002,"49 s",0,0,0
"15504","Unskilled Employment",2003,"49 s",6,2,8
"15505","Unskilled Employment",2004,"49 s",21,9,30
"15506","Unskilled Employment",2005,"49 s",2,1,3
"15507","Unskilled Employment",2006,"49 s",22,11,33
"15508","Unskilled Employment",2007,"49 s",6,10,16
"15509","Unskilled Employment",2008,"49 s",0,0,0
"15510","Unskilled Employment",2009,"49 s",0,0,0
"15511","Unskilled Employment",2010,"49 s",0,0,0
"15512","Unskilled Employment",2012,"49 s",1,NA,1
"15513","Unskilled Employment",2013,"49 s",0,1,1
"15514","Unskilled Employment",2019,"49 s",1,0,1
"15515","Visiting and Joining Family",2000,"49 s",1,34,35
"15516","Visiting and Joining Family",2001,"49 s",3,43,46
"15517","Visiting and Joining Family",2002,"49 s",49,68,117
"15518","Visiting and Joining Family",2003,"49 s",231,151,382
"15519","Visiting and Joining Family",2004,"49 s",379,315,694
"15520","Visiting and Joining Family",2005,"49 s",734,717,1451
"15521","Visiting and Joining Family",2006,"49 s",1386,1276,2662
"15522","Visiting and Joining Family",2007,"49 s",212,220,432
"15523","Visiting and Joining Family",2008,"49 s",10,8,18
"15524","Visiting and Joining Family",2009,"49 s",11,14,25
"15525","Visiting and Joining Family",2010,"49 s",14,25,39
"15526","Visiting and Joining Family",2011,"49 s",15,20,35
"15527","Visiting and Joining Family",2012,"49 s",26,81,107
"15528","Visiting and Joining Family",2013,"49 s",45,111,156
"15529","Visiting and Joining Family",2014,"49 s",40,136,176
"15530","Visiting and Joining Family",2015,"49 s",95,185,280
"15531","Visiting and Joining Family",2016,"49 s",181,266,447
"15532","Visiting and Joining Family",2017,"49 s",172,267,439
"15533","Visiting and Joining Family",2018,"49 s",201,269,470
"15534","Visiting and Joining Family",2019,"49 s",249,331,580
"15535","Overseas Koreans",2000,"49 s",7,11,18
"15536","Overseas Koreans",2001,"49 s",10,11,21
"15537","Overseas Koreans",2002,"49 s",14,30,44
"15538","Overseas Koreans",2003,"49 s",13,14,27
"15539","Overseas Koreans",2004,"49 s",14,25,39
"15540","Overseas Koreans",2005,"49 s",24,39,63
"15541","Overseas Koreans",2006,"49 s",17,32,49
"15542","Overseas Koreans",2007,"49 s",20,36,56
"15543","Overseas Koreans",2008,"49 s",28,45,73
"15544","Overseas Koreans",2009,"49 s",34,50,84
"15545","Overseas Koreans",2010,"49 s",121,188,309
"15546","Overseas Koreans",2011,"49 s",152,214,366
"15547","Overseas Koreans",2012,"49 s",155,199,354
"15548","Overseas Koreans",2013,"49 s",207,204,411
"15549","Overseas Koreans",2014,"49 s",154,181,335
"15550","Overseas Koreans",2015,"49 s",182,172,354
"15551","Overseas Koreans",2016,"49 s",216,211,427
"15552","Overseas Koreans",2017,"49 s",259,250,509
"15553","Overseas Koreans",2018,"49 s",276,263,539
"15554","Overseas Koreans",2019,"49 s",247,278,525
"15555","Permanent Residence",2000,"49 s",0,0,0
"15556","Permanent Residence",2001,"49 s",0,0,0
"15557","Permanent Residence",2002,"49 s",1,0,1
"15558","Permanent Residence",2003,"49 s",3,4,7
"15559","Permanent Residence",2004,"49 s",5,4,9
"15560","Permanent Residence",2005,"49 s",5,2,7
"15561","Permanent Residence",2006,"49 s",4,4,8
"15562","Permanent Residence",2007,"49 s",7,5,12
"15563","Permanent Residence",2008,"49 s",2,3,5
"15564","Permanent Residence",2009,"49 s",3,1,4
"15565","Permanent Residence",2010,"49 s",11,10,21
"15566","Permanent Residence",2011,"49 s",15,33,48
"15567","Permanent Residence",2012,"49 s",42,47,89
"15568","Permanent Residence",2013,"49 s",47,54,101
"15569","Permanent Residence",2014,"49 s",45,64,109
"15570","Permanent Residence",2015,"49 s",40,80,120
"15571","Permanent Residence",2016,"49 s",35,49,84
"15572","Permanent Residence",2017,"49 s",35,57,92
"15573","Permanent Residence",2018,"49 s",64,76,140
"15574","Permanent Residence",2019,"49 s",47,80,127
"15575","Marriage Immigration",2011,"49 s",1,1,2
"15576","Marriage Immigration",2012,"49 s",42,98,140
"15577","Marriage Immigration",2013,"49 s",40,81,121
"15578","Marriage Immigration",2014,"49 s",27,75,102
"15579","Marriage Immigration",2015,"49 s",27,73,100
"15580","Marriage Immigration",2016,"49 s",20,55,75
"15581","Marriage Immigration",2017,"49 s",22,62,84
"15582","Marriage Immigration",2018,"49 s",43,71,114
"15583","Marriage Immigration",2019,"49 s",29,74,103
"15584","Total",2000,"50 s",1138,1353,2491
"15585","Total",2001,"50 s",1287,1394,2681
"15586","Total",2002,"50 s",1129,863,1992
"15587","Total",2003,"50 s",1012,792,1804
"15588","Total",2004,"50 s",1111,1133,2244
"15589","Total",2005,"50 s",1669,1705,3374
"15590","Total",2006,"50 s",1948,1857,3805
"15591","Total",2007,"50 s",2364,2319,4683
"15592","Total",2008,"50 s",2113,2233,4346
"15593","Total",2009,"50 s",1445,1592,3037
"15594","Total",2010,"50 s",2461,2627,5088
"15595","Total",2011,"50 s",1611,2064,3675
"15596","Total",2012,"50 s",1111,1538,2649
"15597","Total",2013,"50 s",2793,3345,6138
"15598","Total",2014,"50 s",3708,3781,7489
"15599","Total",2015,"50 s",2504,2815,5319
"15600","Total",2016,"50 s",2560,2564,5124
"15601","Total",2017,"50 s",2563,2514,5077
"15602","Total",2018,"50 s",2801,2717,5518
"15603","Total",2019,"50 s",2471,2644,5115
"15604","Sightseeing Pass",2000,"50 s",101,69,170
"15605","Sightseeing Pass",2001,"50 s",219,96,315
"15606","Sightseeing Pass",2002,"50 s",232,120,352
"15607","Sightseeing Pass",2003,"50 s",210,105,315
"15608","Sightseeing Pass",2004,"50 s",182,132,314
"15609","Sightseeing Pass",2005,"50 s",188,110,298
"15610","Sightseeing Pass",2006,"50 s",149,77,226
"15611","Sightseeing Pass",2007,"50 s",85,60,145
"15612","Sightseeing Pass",2008,"50 s",77,68,145
"15613","Sightseeing Pass",2009,"50 s",111,100,211
"15614","Sightseeing Pass",2010,"50 s",134,135,269
"15615","Sightseeing Pass",2011,"50 s",89,164,253
"15616","Sightseeing Pass",2012,"50 s",116,114,230
"15617","Sightseeing Pass",2013,"50 s",89,102,191
"15618","Sightseeing Pass",2014,"50 s",129,106,235
"15619","Sightseeing Pass",2015,"50 s",126,131,257
"15620","Sightseeing Pass",2016,"50 s",132,115,247
"15621","Sightseeing Pass",2017,"50 s",156,134,290
"15622","Sightseeing Pass",2018,"50 s",269,182,451
"15623","Sightseeing Pass",2019,"50 s",154,174,328
"15624","Short-term Business",2000,"50 s",76,31,107
"15625","Short-term Business",2001,"50 s",63,33,96
"15626","Short-term Business",2002,"50 s",61,24,85
"15627","Short-term Business",2003,"50 s",62,18,80
"15628","Short-term Business",2004,"50 s",66,22,88
"15629","Short-term Business",2005,"50 s",80,23,103
"15630","Short-term Business",2006,"50 s",86,16,102
"15631","Short-term Business",2007,"50 s",86,26,112
"15632","Short-term Business",2008,"50 s",67,12,79
"15633","Short-term Business",2009,"50 s",21,3,24
"15634","Short-term Business",2010,"50 s",21,3,24
"15635","Short-term Business",2011,"50 s",21,5,26
"15636","Short-term Visitors",2000,"50 s",717,1125,1842
"15637","Short-term Visitors",2001,"50 s",766,1100,1866
"15638","Short-term Visitors",2002,"50 s",426,461,887
"15639","Short-term Visitors",2003,"50 s",265,281,546
"15640","Short-term Visitors",2004,"50 s",263,291,554
"15641","Short-term Visitors",2005,"50 s",328,398,726
"15642","Short-term Visitors",2006,"50 s",228,284,512
"15643","Short-term Visitors",2007,"50 s",176,254,430
"15644","Short-term Visitors",2008,"50 s",139,255,394
"15645","Short-term Visitors",2009,"50 s",83,194,277
"15646","Short-term Visitors",2010,"50 s",769,864,1633
"15647","Short-term Visitors",2011,"50 s",581,725,1306
"15648","Short-term Visitors",2012,"50 s",270,480,750
"15649","Short-term Visitors",2013,"50 s",397,666,1063
"15650","Short-term Visitors",2014,"50 s",546,600,1146
"15651","Short-term Visitors",2015,"50 s",553,591,1144
"15652","Short-term Visitors",2016,"50 s",879,738,1617
"15653","Short-term Visitors",2017,"50 s",693,623,1316
"15654","Short-term Visitors",2018,"50 s",703,624,1327
"15655","Short-term Visitors",2019,"50 s",638,541,1179
"15656","Short-term Employment",2000,"50 s",3,0,3
"15657","Short-term Employment",2001,"50 s",1,0,1
"15658","Short-term Employment",2002,"50 s",1,0,1
"15659","Short-term Employment",2003,"50 s",4,1,5
"15660","Short-term Employment",2004,"50 s",1,1,2
"15661","Short-term Employment",2005,"50 s",4,2,6
"15662","Short-term Employment",2006,"50 s",2,0,2
"15663","Short-term Employment",2007,"50 s",5,0,5
"15664","Short-term Employment",2008,"50 s",0,0,0
"15665","Short-term Employment",2009,"50 s",0,0,0
"15666","Short-term Employment",2010,"50 s",1,0,1
"15667","Short-term Employment",2011,"50 s",1,1,2
"15668","Short-term Employment",2016,"50 s",5,0,5
"15669","Short-term Employment",2017,"50 s",1,1,2
"15670","Short-term Employment",2019,"50 s",1,0,1
"15671","Job Seeking",2000,"50 s",0,0,0
"15672","Job Seeking",2001,"50 s",0,0,0
"15673","Job Seeking",2002,"50 s",0,0,0
"15674","Job Seeking",2003,"50 s",0,0,0
"15675","Job Seeking",2004,"50 s",0,0,0
"15676","Job Seeking",2005,"50 s",0,0,0
"15677","Job Seeking",2006,"50 s",0,0,0
"15678","Job Seeking",2007,"50 s",0,0,0
"15679","Job Seeking",2008,"50 s",0,0,0
"15680","Job Seeking",2009,"50 s",0,0,0
"15681","Job Seeking",2010,"50 s",0,0,0
"15682","Job Seeking",2016,"50 s",1,0,1
"15683","study",2000,"50 s",2,2,4
"15684","study",2001,"50 s",0,0,0
"15685","study",2002,"50 s",3,0,3
"15686","study",2003,"50 s",1,1,2
"15687","study",2004,"50 s",2,0,2
"15688","study",2005,"50 s",3,1,4
"15689","study",2006,"50 s",1,1,2
"15690","study",2007,"50 s",3,0,3
"15691","study",2008,"50 s",0,1,1
"15692","study",2009,"50 s",4,0,4
"15693","study",2010,"50 s",3,0,3
"15694","study",2011,"50 s",1,2,3
"15695","study",2012,"50 s",1,NA,1
"15696","study",2013,"50 s",2,0,2
"15697","study",2014,"50 s",2,2,4
"15698","study",2015,"50 s",0,1,1
"15699","study",2016,"50 s",2,2,4
"15700","study",2018,"50 s",1,0,1
"15701","study",2019,"50 s",1,0,1
"15702","General Trainees",2000,"50 s",1,0,1
"15703","General Trainees",2001,"50 s",2,1,3
"15704","General Trainees",2002,"50 s",3,1,4
"15705","General Trainees",2003,"50 s",0,0,0
"15706","General Trainees",2004,"50 s",1,2,3
"15707","General Trainees",2005,"50 s",4,1,5
"15708","General Trainees",2006,"50 s",1,1,2
"15709","General Trainees",2007,"50 s",2,0,2
"15710","General Trainees",2008,"50 s",1,1,2
"15711","General Trainees",2009,"50 s",2,2,4
"15712","General Trainees",2010,"50 s",5,2,7
"15713","General Trainees",2011,"50 s",19,12,31
"15714","General Trainees",2013,"50 s",1,1,2
"15715","General Trainees",2014,"50 s",4,0,4
"15716","General Trainees",2015,"50 s",2,2,4
"15717","General Trainees",2016,"50 s",10,0,10
"15718","General Trainees",2017,"50 s",0,1,1
"15719","General Trainees",2018,"50 s",2,2,4
"15720","General Trainees",2019,"50 s",0,2,2
"15721","Religious Activities",2000,"50 s",2,1,3
"15722","Religious Activities",2001,"50 s",6,4,10
"15723","Religious Activities",2002,"50 s",7,3,10
"15724","Religious Activities",2003,"50 s",1,3,4
"15725","Religious Activities",2004,"50 s",4,0,4
"15726","Religious Activities",2005,"50 s",1,0,1
"15727","Religious Activities",2006,"50 s",5,4,9
"15728","Religious Activities",2007,"50 s",4,0,4
"15729","Religious Activities",2008,"50 s",3,1,4
"15730","Religious Activities",2009,"50 s",2,1,3
"15731","Religious Activities",2010,"50 s",4,0,4
"15732","Religious Activities",2011,"50 s",3,NA,3
"15733","Religious Activities",2012,"50 s",NA,2,2
"15734","Religious Activities",2013,"50 s",2,0,2
"15735","Religious Activities",2014,"50 s",1,1,2
"15736","Religious Activities",2015,"50 s",4,3,7
"15737","Religious Activities",2016,"50 s",4,0,4
"15738","Religious Activities",2017,"50 s",2,3,5
"15739","Religious Activities",2018,"50 s",1,5,6
"15740","Religious Activities",2019,"50 s",4,0,4
"15741","Investors",2000,"50 s",15,5,20
"15742","Investors",2001,"50 s",19,6,25
"15743","Investors",2002,"50 s",33,0,33
"15744","Investors",2003,"50 s",21,1,22
"15745","Investors",2004,"50 s",21,4,25
"15746","Investors",2005,"50 s",27,8,35
"15747","Investors",2006,"50 s",6,2,8
"15748","Investors",2007,"50 s",15,3,18
"15749","Investors",2008,"50 s",14,2,16
"15750","Investors",2009,"50 s",9,2,11
"15751","Investors",2010,"50 s",16,1,17
"15752","Investors",2011,"50 s",17,2,19
"15753","Investors",2012,"50 s",17,NA,17
"15754","Investors",2013,"50 s",24,1,25
"15755","Investors",2014,"50 s",14,1,15
"15756","Investors",2015,"50 s",14,0,14
"15757","Investors",2016,"50 s",17,0,17
"15758","Investors",2017,"50 s",10,1,11
"15759","Investors",2018,"50 s",14,1,15
"15760","Investors",2019,"50 s",12,0,12
"15761","Trade and Business",2000,"50 s",9,1,10
"15762","Trade and Business",2001,"50 s",18,0,18
"15763","Trade and Business",2002,"50 s",21,0,21
"15764","Trade and Business",2003,"50 s",21,1,22
"15765","Trade and Business",2004,"50 s",17,0,17
"15766","Trade and Business",2005,"50 s",19,0,19
"15767","Trade and Business",2006,"50 s",21,0,21
"15768","Trade and Business",2007,"50 s",20,0,20
"15769","Trade and Business",2008,"50 s",22,1,23
"15770","Trade and Business",2009,"50 s",22,0,22
"15771","Trade and Business",2010,"50 s",25,1,26
"15772","Trade and Business",2011,"50 s",19,1,20
"15773","Trade and Business",2012,"50 s",21,1,22
"15774","Trade and Business",2013,"50 s",29,1,30
"15775","Trade and Business",2014,"50 s",34,0,34
"15776","Trade and Business",2015,"50 s",37,1,38
"15777","Trade and Business",2016,"50 s",25,1,26
"15778","Trade and Business",2017,"50 s",15,0,15
"15779","Trade and Business",2018,"50 s",19,0,19
"15780","Trade and Business",2019,"50 s",10,1,11
"15781","Research",2000,"50 s",3,1,4
"15782","Research",2001,"50 s",4,1,5
"15783","Research",2002,"50 s",9,0,9
"15784","Research",2003,"50 s",6,1,7
"15785","Research",2004,"50 s",3,2,5
"15786","Research",2005,"50 s",6,1,7
"15787","Research",2006,"50 s",6,2,8
"15788","Research",2007,"50 s",5,1,6
"15789","Research",2008,"50 s",3,0,3
"15790","Research",2009,"50 s",2,0,2
"15791","Research",2010,"50 s",4,0,4
"15792","Research",2011,"50 s",6,1,7
"15793","Research",2012,"50 s",3,NA,3
"15794","Research",2013,"50 s",7,0,7
"15795","Research",2014,"50 s",1,0,1
"15796","Research",2015,"50 s",3,0,3
"15797","Research",2016,"50 s",6,0,6
"15798","Research",2017,"50 s",1,1,2
"15799","Research",2018,"50 s",14,1,15
"15800","Research",2019,"50 s",6,0,6
"15801","Art and Entertainment",2000,"50 s",6,1,7
"15802","Art and Entertainment",2001,"50 s",6,0,6
"15803","Art and Entertainment",2002,"50 s",10,0,10
"15804","Art and Entertainment",2003,"50 s",2,0,2
"15805","Art and Entertainment",2004,"50 s",5,2,7
"15806","Art and Entertainment",2005,"50 s",7,1,8
"15807","Art and Entertainment",2006,"50 s",5,5,10
"15808","Art and Entertainment",2007,"50 s",5,0,5
"15809","Art and Entertainment",2008,"50 s",5,0,5
"15810","Art and Entertainment",2009,"50 s",1,0,1
"15811","Art and Entertainment",2010,"50 s",5,1,6
"15812","Art and Entertainment",2011,"50 s",5,NA,5
"15813","Art and Entertainment",2012,"50 s",3,NA,3
"15814","Art and Entertainment",2013,"50 s",4,0,4
"15815","Art and Entertainment",2014,"50 s",3,0,3
"15816","Art and Entertainment",2015,"50 s",2,0,2
"15817","Art and Entertainment",2016,"50 s",5,1,6
"15818","Art and Entertainment",2017,"50 s",3,0,3
"15819","Art and Entertainment",2018,"50 s",5,1,6
"15820","Art and Entertainment",2019,"50 s",1,2,3
"15821","Unskilled Employment",2000,"50 s",0,0,0
"15822","Unskilled Employment",2001,"50 s",0,0,0
"15823","Unskilled Employment",2002,"50 s",0,0,0
"15824","Unskilled Employment",2003,"50 s",7,1,8
"15825","Unskilled Employment",2004,"50 s",9,13,22
"15826","Unskilled Employment",2005,"50 s",1,1,2
"15827","Unskilled Employment",2006,"50 s",8,7,15
"15828","Unskilled Employment",2007,"50 s",5,7,12
"15829","Unskilled Employment",2008,"50 s",1,0,1
"15830","Unskilled Employment",2009,"50 s",0,1,1
"15831","Unskilled Employment",2010,"50 s",0,0,0
"15832","Unskilled Employment",2012,"50 s",1,NA,1
"15833","Unskilled Employment",2013,"50 s",0,1,1
"15834","Visiting and Joining Family",2000,"50 s",5,29,34
"15835","Visiting and Joining Family",2001,"50 s",8,42,50
"15836","Visiting and Joining Family",2002,"50 s",71,96,167
"15837","Visiting and Joining Family",2003,"50 s",221,180,401
"15838","Visiting and Joining Family",2004,"50 s",307,312,619
"15839","Visiting and Joining Family",2005,"50 s",725,735,1460
"15840","Visiting and Joining Family",2006,"50 s",1169,1168,2337
"15841","Visiting and Joining Family",2007,"50 s",193,212,405
"15842","Visiting and Joining Family",2008,"50 s",18,14,32
"15843","Visiting and Joining Family",2009,"50 s",9,8,17
"15844","Visiting and Joining Family",2010,"50 s",16,29,45
"15845","Visiting and Joining Family",2011,"50 s",24,26,50
"15846","Visiting and Joining Family",2012,"50 s",13,60,73
"15847","Visiting and Joining Family",2013,"50 s",46,132,178
"15848","Visiting and Joining Family",2014,"50 s",67,173,240
"15849","Visiting and Joining Family",2015,"50 s",122,229,351
"15850","Visiting and Joining Family",2016,"50 s",215,288,503
"15851","Visiting and Joining Family",2017,"50 s",215,279,494
"15852","Visiting and Joining Family",2018,"50 s",190,276,466
"15853","Visiting and Joining Family",2019,"50 s",227,330,557
"15854","Overseas Koreans",2000,"50 s",9,11,20
"15855","Overseas Koreans",2001,"50 s",8,11,19
"15856","Overseas Koreans",2002,"50 s",14,26,40
"15857","Overseas Koreans",2003,"50 s",13,28,41
"15858","Overseas Koreans",2004,"50 s",14,26,40
"15859","Overseas Koreans",2005,"50 s",20,42,62
"15860","Overseas Koreans",2006,"50 s",20,31,51
"15861","Overseas Koreans",2007,"50 s",23,35,58
"15862","Overseas Koreans",2008,"50 s",25,55,80
"15863","Overseas Koreans",2009,"50 s",27,55,82
"15864","Overseas Koreans",2010,"50 s",186,275,461
"15865","Overseas Koreans",2011,"50 s",170,285,455
"15866","Overseas Koreans",2012,"50 s",112,184,296
"15867","Overseas Koreans",2013,"50 s",197,315,512
"15868","Overseas Koreans",2014,"50 s",183,260,443
"15869","Overseas Koreans",2015,"50 s",201,274,475
"15870","Overseas Koreans",2016,"50 s",244,280,524
"15871","Overseas Koreans",2017,"50 s",187,235,422
"15872","Overseas Koreans",2018,"50 s",233,288,521
"15873","Overseas Koreans",2019,"50 s",253,328,581
"15874","Permanent Residence",2000,"50 s",0,0,0
"15875","Permanent Residence",2001,"50 s",0,0,0
"15876","Permanent Residence",2002,"50 s",0,1,1
"15877","Permanent Residence",2003,"50 s",5,3,8
"15878","Permanent Residence",2004,"50 s",5,6,11
"15879","Permanent Residence",2005,"50 s",3,3,6
"15880","Permanent Residence",2006,"50 s",3,2,5
"15881","Permanent Residence",2007,"50 s",6,2,8
"15882","Permanent Residence",2008,"50 s",7,4,11
"15883","Permanent Residence",2009,"50 s",5,5,10
"15884","Permanent Residence",2010,"50 s",8,11,19
"15885","Permanent Residence",2011,"50 s",17,13,30
"15886","Permanent Residence",2012,"50 s",25,47,72
"15887","Permanent Residence",2013,"50 s",47,100,147
"15888","Permanent Residence",2014,"50 s",55,100,155
"15889","Permanent Residence",2015,"50 s",41,87,128
"15890","Permanent Residence",2016,"50 s",47,88,135
"15891","Permanent Residence",2017,"50 s",43,66,109
"15892","Permanent Residence",2018,"50 s",46,84,130
"15893","Permanent Residence",2019,"50 s",53,102,155
"15894","Marriage Immigration",2011,"50 s",1,7,8
"15895","Marriage Immigration",2012,"50 s",27,70,97
"15896","Marriage Immigration",2013,"50 s",40,119,159
"15897","Marriage Immigration",2014,"50 s",37,75,112
"15898","Marriage Immigration",2015,"50 s",23,70,93
"15899","Marriage Immigration",2016,"50 s",25,57,82
"15900","Marriage Immigration",2017,"50 s",4,66,70
"15901","Marriage Immigration",2018,"50 s",22,70,92
"15902","Marriage Immigration",2019,"50 s",29,83,112
"15903","Total",2000,"51 s",1186,1182,2368
"15904","Total",2001,"51 s",1465,1440,2905
"15905","Total",2002,"51 s",1036,833,1869
"15906","Total",2003,"51 s",968,781,1749
"15907","Total",2004,"51 s",1056,967,2023
"15908","Total",2005,"51 s",1524,1571,3095
"15909","Total",2006,"51 s",1889,1882,3771
"15910","Total",2007,"51 s",2125,2177,4302
"15911","Total",2008,"51 s",2037,2218,4255
"15912","Total",2009,"51 s",1479,1667,3146
"15913","Total",2010,"51 s",2126,2270,4396
"15914","Total",2011,"51 s",1977,2315,4292
"15915","Total",2012,"51 s",1080,1472,2552
"15916","Total",2013,"51 s",1847,2115,3962
"15917","Total",2014,"51 s",3747,4116,7863
"15918","Total",2015,"51 s",2605,2899,5504
"15919","Total",2016,"51 s",2724,2630,5354
"15920","Total",2017,"51 s",2895,2807,5702
"15921","Total",2018,"51 s",2667,2449,5116
"15922","Total",2019,"51 s",2094,2327,4421
"15923","Sightseeing Pass",2000,"51 s",108,81,189
"15924","Sightseeing Pass",2001,"51 s",209,90,299
"15925","Sightseeing Pass",2002,"51 s",230,109,339
"15926","Sightseeing Pass",2003,"51 s",198,101,299
"15927","Sightseeing Pass",2004,"51 s",172,117,289
"15928","Sightseeing Pass",2005,"51 s",150,103,253
"15929","Sightseeing Pass",2006,"51 s",108,88,196
"15930","Sightseeing Pass",2007,"51 s",81,83,164
"15931","Sightseeing Pass",2008,"51 s",105,64,169
"15932","Sightseeing Pass",2009,"51 s",109,95,204
"15933","Sightseeing Pass",2010,"51 s",114,91,205
"15934","Sightseeing Pass",2011,"51 s",123,128,251
"15935","Sightseeing Pass",2012,"51 s",85,122,207
"15936","Sightseeing Pass",2013,"51 s",95,94,189
"15937","Sightseeing Pass",2014,"51 s",111,117,228
"15938","Sightseeing Pass",2015,"51 s",142,115,257
"15939","Sightseeing Pass",2016,"51 s",125,106,231
"15940","Sightseeing Pass",2017,"51 s",155,128,283
"15941","Sightseeing Pass",2018,"51 s",271,163,434
"15942","Sightseeing Pass",2019,"51 s",130,144,274
"15943","Short-term Business",2000,"51 s",52,24,76
"15944","Short-term Business",2001,"51 s",74,32,106
"15945","Short-term Business",2002,"51 s",62,24,86
"15946","Short-term Business",2003,"51 s",56,18,74
"15947","Short-term Business",2004,"51 s",48,16,64
"15948","Short-term Business",2005,"51 s",57,16,73
"15949","Short-term Business",2006,"51 s",58,19,77
"15950","Short-term Business",2007,"51 s",86,14,100
"15951","Short-term Business",2008,"51 s",35,11,46
"15952","Short-term Business",2009,"51 s",24,9,33
